year,sig05,sig095,sig105,sig15,sig2,sig25,sig3,sig35,sig4,sig45,sig5
2139,5.15429365102639,4.77771638539437,3.59923528499737,2.30828974847279,1.93947768173242,1.60475941609526,1.30969389811262,1.05618083713641,0.843131960130715,0.66739060593419,0.524636222762773
2140,5.04329697450152,4.67482921921195,3.52172642792406,2.25858113115311,1.89771136055962,1.57020118701536,1.28148984696375,1.03343614046673,0.824975230560556,0.65301843423168,0.513338241807608
2141,4.93274108011116,4.57235063435536,3.44452535288177,2.20906990028165,1.85611089595494,1.53578019709354,1.25339780569123,1.01078177557973,0.806890613501094,0.638703345274185,0.502085134344022
2142,4.82271101410562,4.47035946328556,3.36769144865899,2.15979414371663,1.81470828960006,1.50152292462058,1.22543938368382,0.988235168751729,0.788892019897052,0.624456350323089,0.490885556272176
2143,4.71329018111646,4.36893301678469,3.29128295774817,2.11079121418962,1.77353492550839,1.46745533682078,1.19763577323792,0.965813409907442,0.770993092194875,0.610288248112393,0.479747996429247
2144,4.6045600985365,4.26814685628198,3.21535680481883,2.06209761929644,1.73262147759519,1.43360281337542,1.17000768714367,0.943533202287614,0.753207164163165,0.596209593043851,0.46868075158719
2145,4.49660016317992,4.16807457756266,3.13996843376615,2.01374891698791,1.69199782186892,1.39999007376991,1.14257529939159,0.921410814633322,0.73554722272215,0.582230664972392,0.45769190270069
2146,4.38948743157045,4.06878760710927,3.06517165427627,1.96577961716409,1.65169295375084,1.36664110888412,1.11535818934232,0.899462036162982,0.718025872002624,0.56836144075635,0.44678929254239
2147,4.28329641505727,3.9703550121873,2.99101849874632,1.91822308990952,1.61173491097446,1.33357911719962,1.08837528966435,0.877702134588013,0.70065529983054,0.554611567727776,0.435980504847614
2148,4.17809889080071,3.87284332564124,2.91755909028672,1.87111148083605,1.5721507024569,1.30082644594808,1.06164483830434,0.856145817380541,0.683447246807739,0.540990339217762,0.425272845074481
2149,4.07396372950436,3.77631638621337,2.84484152241807,1.82447563392588,1.53296624347194,1.26840453747384,1.03518433471283,0.834807196472771,0.666412978132085,0.527506672250201,0.414673322868717
2150,3.97095674059941,3.68083519503981,2.77291175095547,1.77834502219107,1.49420629739062,1.23633388103033,1.0090105005047,0.813699756532674,0.649563258272535,0.514169087495424,0.404188636304932
2151,3.86914053541489,3.58645778881822,2.70181349845305,1.73274768638842,1.45589442418988,1.20463397017653,0.983139244689878,0.792836326925216,0.632908328586325,0.500985691552701,0.393825157958668
2152,3.76857440869399,3.49323912998127,2.63158817146025,1.68771018195116,1.41805293586503,1.17332326588564,0.957585633565874,0.772229057433055,0.616457887937229,0.487964161608303,0.383588922845879
